nome,preparacao,nome_busca,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,gordura_saturada_g,gordura_trans_g,acucar_g,colesterol_mg,fonte
COUVE,NAO SE APLICA,couve,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
COUVE FLOR,CRU(A),couve flor cru,23.0,1.84,4.11,0.45,2.3,15.0,0.07,,1.8,,IBGE
COUVE FLOR,COZIDO(A),couve flor cozido,23.0,1.84,4.11,0.45,2.3,15.0,0.07,,1.8,,IBGE
COUVE FLOR,FRITO(A),couve flor frito,55.38,1.84,4.11,4.11,2.3,15.0,0.6,,1.8,,IBGE
COUVE FLOR,EMPANADO(A)/A MILANESA,couve flor empanado,137.44,4.17,10.31,9.21,2.08,99.57,1.59,0.01,2.04,51.39,IBGE
COUVE FLOR,REFOGADO(A),couve flor refogado,55.38,1.84,4.11,4.11,2.3,15.0,0.6,,1.8,,IBGE
COUVE FLOR,AO VINAGRETE,couve flor ao vinagrete,23.0,1.84,4.11,0.45,2.3,15.0,0.07,,1.8,,IBGE
COUVE FLOR,NAO SE APLICA,couve flor,23.0,1.84,4.11,0.45,2.3,15.0,0.07,,1.8,,IBGE
ESPINAFRE,CRU(A),espinafre cru,23.0,2.97,3.75,0.26,2.4,70.0,0.04,,0.89,,IBGE
ESPINAFRE,COZIDO(A),espinafre cozido,23.0,2.97,3.75,0.26,2.4,70.0,0.04,,0.89,,IBGE
ESPINAFRE,REFOGADO(A),espinafre refogado,45.3,2.97,3.75,2.78,2.4,70.0,0.41,,0.89,,IBGE
ESPINAFRE,AO VINAGRETE,espinafre ao vinagrete,23.0,2.97,3.75,0.26,2.4,70.0,0.04,,0.89,,IBGE
ESPINAFRE,NAO SE APLICA,espinafre,23.0,2.97,3.75,0.26,2.4,70.0,0.04,,0.89,,IBGE
MOSTARDA (VERDURA),CRU(A),mostarda verdura cru,26.0,2.7,4.9,0.2,3.3,25.0,0.01,,0.7,,IBGE
MOSTARDA (VERDURA),COZIDO(A),mostarda verdura cozido,15.0,2.26,2.1,0.24,2.0,16.0,0.01,,0.5,,IBGE
MOSTARDA (VERDURA),REFOGADO(A),mostarda verdura refogado,43.68,2.26,2.1,3.48,2.0,16.0,0.48,,0.5,,IBGE
MOSTARDA (VERDURA),NAO SE APLICA,mostarda verdura,15.0,2.26,2.1,0.24,2.0,16.0,0.01,,0.5,,IBGE
REPOLHO,CRU(A),repolho cru,25.0,1.28,5.8,0.1,2.24,18.0,0.03,,3.21,,IBGE
REPOLHO,COZIDO(A),repolho cozido,23.0,1.27,5.51,0.06,1.9,8.0,,,2.78,,IBGE
REPOLHO,FRITO(A),repolho frito,49.77,1.27,5.51,3.09,1.9,8.0,0.47,0.02,2.78,,IBGE
REPOLHO,REFOGADO(A),repolho refogado,49.77,1.27,5.51,3.09,1.9,8.0,0.47,0.02,2.78,,IBGE
REPOLHO,MOLHO BRANCO,repolho ao molho branco,23.0,1.27,5.51,0.06,1.9,8.0,,,2.78,,IBGE
REPOLHO,AO ALHO E OLEO,repolho ao alho e oleo,49.77,1.27,5.51,3.09,1.9,8.0,0.47,0.02,2.78,,IBGE
REPOLHO,AO VINAGRETE,repolho ao vinagrete,23.0,1.27,5.51,0.06,1.9,8.0,,,2.78,,IBGE
REPOLHO,ENSOPADO,repolho ensopado,49.77,1.27,5.51,3.09,1.9,8.0,0.47,0.02,2.78,,IBGE
REPOLHO,SOPA,repolho sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
REPOLHO,NAO SE APLICA,repolho,23.0,1.27,5.51,0.06,1.9,8.0,,,2.78,,IBGE
CEBOLINHA,NAO SE APLICA,cebolinha,25.0,1.8,5.65,0.1,3.5,4.0,0.02,,2.09,,IBGE
AGRIAO,CRU(A),agriao cru,25.0,2.58,3.65,0.66,1.6,27.0,0.09,,1.6,,IBGE
AGRIAO,COZIDO(A),agriao cozido,11.0,2.3,1.29,0.1,0.5,316.36,0.03,,0.7,,IBGE
AGRIAO,AO VINAGRETE,agriao ao vinagrete,11.0,2.3,1.29,0.1,0.5,316.36,0.03,,0.7,,IBGE
AGRIAO,ENSOPADO,agriao ensopado,35.75,2.33,1.29,2.9,0.5,60.88,1.8,0.11,0.7,7.42,IBGE
AGRIAO,NAO SE APLICA,agriao,25.0,2.58,3.65,0.66,1.6,27.0,0.09,,1.6,,IBGE
TAIOBA,CRU(A),taioba cru,34.0,2.9,5.4,0.9,4.5,1.0,0.2,,,,IBGE
TAIOBA,COZIDO(A),taioba cozido,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
TAIOBA,REFOGADO(A),taioba refogado,47.13,2.11,4.91,2.75,2.8,16.0,0.39,,1.41,,IBGE
ACELGA,CRU(A),acelga cru,19.0,1.8,3.74,0.2,1.6,213.0,0.03,,0.6,,IBGE
ACELGA,COZIDO(A),acelga cozido,14.0,1.5,2.41,0.17,1.7,9.0,0.04,,0.67,,IBGE
ACELGA,REFOGADO(A),acelga refogado,47.74,1.5,2.41,3.99,1.7,9.0,0.63,0.02,0.67,,IBGE
ACELGA,NAO SE APLICA,acelga,19.0,1.8,3.74,0.2,1.6,213.0,0.03,,0.6,,IBGE
BETERRABA BRANCA (ACELGA),COZIDO(A),beterraba branca acelga cozido,14.0,1.5,2.41,0.17,1.7,9.0,0.04,,0.67,,IBGE
ALMEIRAO,CRU(A),almeirao cru,17.0,1.25,3.35,0.2,3.1,22.0,0.05,,0.5,,IBGE
ALMEIRAO,COZIDO(A),almeirao cozido,22.0,1.61,4.31,0.26,3.99,29.0,0.06,,0.65,,IBGE
ALMEIRAO,REFOGADO(A),almeirao refogado,52.88,1.61,4.31,3.75,3.99,29.0,0.56,,0.65,,IBGE
ALMEIRAO,AO VINAGRETE,almeirao ao vinagrete,22.0,1.61,4.31,0.26,3.99,29.0,0.06,,0.65,,IBGE
RADITE,CRU(A),radite cru,17.0,1.25,3.35,0.2,3.1,22.0,0.05,,0.5,,IBGE
RADITE,REFOGADO(A),radite refogado,52.88,1.61,4.31,3.75,3.99,29.0,0.56,,0.65,,IBGE
RADITE,AO VINAGRETE,radite ao vinagrete,22.0,1.61,4.31,0.26,3.99,29.0,0.06,,0.65,,IBGE
BROCOLIS,CRU(A),brocolis cru,34.0,2.82,6.64,0.37,2.6,33.0,0.04,,1.69,,IBGE
BROCOLIS,COZIDO(A),brocolis cozido,35.0,2.38,7.18,0.41,3.3,41.0,0.08,,1.31,,IBGE
BROCOLIS,EMPANADO(A)/A MILANESA,brocolis empanado,181.23,4.18,15.43,11.48,2.06,243.98,1.87,,1.21,49.88,IBGE
BROCOLIS,REFOGADO(A),brocolis refogado,60.74,2.38,7.18,3.32,3.3,41.0,0.5,,1.31,,IBGE
BROCOLIS,AO ALHO E OLEO,brocolis ao alho e oleo,60.74,2.38,7.18,3.32,3.3,41.0,0.5,,1.31,,IBGE
BROCOLIS,AO VINAGRETE,brocolis ao vinagrete,35.0,2.38,7.18,0.41,3.3,41.0,0.08,,1.31,,IBGE
BROCOLIS,NAO SE APLICA,brocolis,35.0,2.38,7.18,0.41,3.3,41.0,0.08,,1.31,,IBGE
SERRALHA,CRU(A),serralha cru,23.0,2.97,3.75,0.26,2.4,70.0,0.04,,0.89,,IBGE
SERRALHA,COZIDO(A),serralha cozido,23.0,2.97,3.75,0.26,2.4,70.0,0.04,,0.89,,IBGE
SERRALHA,REFOGADO(A),serralha refogado,45.3,2.97,3.75,2.78,2.4,70.0,0.41,,0.89,,IBGE
CARURU,COZIDO(A),caruru cozido,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
CUXA,NAO SE APLICA,cuxa,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
VINAGREIRA,NAO SE APLICA,vinagreira,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
CARIRU,NAO SE APLICA,cariru,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
RUCULA,NAO SE APLICA,rucula,25.0,2.58,3.65,0.66,1.6,27.0,0.09,,1.6,,IBGE
JAMBU,NAO SE APLICA,jambu,32.0,1.9,7.2,0.3,1.3,,,,,,IBGE
LINGUA DE VACA (VERDURA),CRU(A),lingua de vaca verdura cru,30.0,2.45,5.69,0.42,3.6,20.0,0.06,,1.63,,IBGE
ALCACHOFRA,NAO SE APLICA,alcachofra,53.0,2.89,11.95,0.34,8.6,60.0,0.08,,0.99,,IBGE
BREDO,NAO SE APLICA,bredo,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
SALSAO (AIPO),REFOGADO(A),salsao aipo refogado,18.0,0.83,4.0,0.16,1.6,91.0,0.04,,2.36,,IBGE
ERVA DOCE,NAO SE APLICA,erva doce,31.0,1.24,7.29,0.2,3.1,52.0,,,1.7,,IBGE
FOLHA DE AIPIM,CRU(A),folha de aipim cru,30.0,2.45,5.69,0.42,3.6,20.0,0.06,,1.63,,IBGE
FOLHA DE MACAXEIRA,COZIDO(A),folha de macaxeira cozido,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
BROTO DE FEIJAO,CRU(A),broto de feijao cru,30.0,3.04,5.94,0.18,1.8,6.0,0.05,,2.1,,IBGE
BROTO DE FEIJAO,COZIDO(A),broto de feijao cozido,53.38,2.03,4.19,3.75,0.8,10.0,0.6,0.02,1.4,,IBGE
MORANGA,COZIDO(A),moranga cozido,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
MORANGA,REFOGADO(A),moranga refogado,36.39,0.72,4.9,1.92,1.1,1.0,0.3,,3.3,,IBGE
MORANGA,ENSOPADO,moranga ensopado,36.39,0.72,4.9,1.92,1.1,1.0,0.3,,3.3,,IBGE
MORANGA,NAO SE APLICA,moranga,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
ABOBRINHA,CRU(A),abobrinha cru,16.0,1.21,3.35,0.18,1.1,2.0,0.04,,1.73,,IBGE
ABOBRINHA,COZIDO(A),abobrinha cozido,20.0,0.91,4.31,0.31,1.4,1.0,0.06,,1.66,,IBGE
ABOBRINHA,GRELHADO(A)/BRASA/CHURRASCO,abobrinha grelhado,20.0,0.91,4.31,0.31,1.4,1.0,0.06,,1.66,,IBGE
ABOBRINHA,ASSADO(A),abobrinha assado,20.0,0.91,4.31,0.31,1.4,1.0,0.06,,1.66,,IBGE
ABOBRINHA,FRITO(A),abobrinha frito,42.3,0.91,4.31,2.83,1.4,1.0,0.43,,1.66,,IBGE
ABOBRINHA,EMPANADO(A)/A MILANESA,abobrinha empanado,160.71,4.35,16.01,8.92,1.56,93.58,1.67,0.02,1.66,52.96,IBGE
ABOBRINHA,REFOGADO(A),abobrinha refogado,42.3,0.91,4.31,2.83,1.4,1.0,0.43,,1.66,,IBGE
ABOBRINHA,ENSOPADO,abobrinha ensopado,42.3,0.91,4.31,2.83,1.4,1.0,0.43,,1.66,,IBGE
JERIMUM,CRU(A),jerimum cru,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
JERIMUM,COZIDO(A),jerimum cozido,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
ABOBORA,CRU(A),abobora cru,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
ABOBORA,COZIDO(A),abobora cozido,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
ABOBORA,ASSADO(A),abobora assado,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
ABOBORA,FRITO(A),abobora frito,36.39,0.72,4.9,1.92,1.1,1.0,0.3,,3.3,,IBGE
ABOBORA,REFOGADO(A),abobora refogado,36.39,0.72,4.9,1.92,1.1,1.0,0.3,,3.3,,IBGE
ABOBORA,MOLHO VERMELHO,abobora ao molho vermelho,20.8,0.84,5.0,0.09,1.18,105.6,0.04,,3.49,,IBGE
